addressID,address
362,calle Jimena Menéndez Pidal
363,"calle de Jorge Juan, 55"
364,"CL IBIZA, 50"
365,calle Comandante Benítez
366,calle del Príncipe
367,calle de Ramón de Santillán
368,calle de Eraso
369,calle de Francisco Navacerrada
370,Barrio Nuevos Ministerios-Ríos Rosas
371,calle de Mesena
372,calle de Emilio Mario
373,calle de Alcántara
374,calle del Castillo
375,calle del Alcalde Sainz de Baranda
376,calle del Ventorrillo
377,Barrio Costillares
378,calle de Téllez
379,calle del Cardenal Cisneros
380,calle de Bravo Murillo
381,calle del Poeta Joan Maragall
382,calle del Pepion
383,"CL ARQUITECTO GAUDI, 11"
384,"calle de Colmenares, 7"
385,calle de José María Fernández Lanseros
386,calle de Argumosa
387,paseo de las Delicias
388,calle de Méjico
389,"calle del Gasómetro, 11"
390,travesía de las Beatas
391,calle de Fuencarral s/n
392,CL JOSE CASTAN TOBEÑAS
393,calle del Doctor Juan José López Ibor
394,calle de Bruno Ayllón
395,"calle Velázquez, 146"
396,avenida de los Arces
397,"calle del Doctor Castelo, 22"
398,calle de Añastro
399,plaza Angel de Carbajo s/n
400,calle de Monteleón
401,"calle del Mesón de Paredes, 80"
402,calle de Garcilaso
403,calle del Marqués de Cubas
404,calle de Ferrer del Río
405,calle de Arturo Soria
406,calle de Nuestra Señora de Valverde
407,calle de Cádiz
408,Donoso Cortés
409,calle de Padilla
410,"CL MAUDES, 9"
411,calle de los Estudios
412,calle de Benigno Soto
413,calle de los Señores de Luzón
414,"calle de Redecilla del Camino, 9"
415,CL FRANCISCO SILVELA
416,avenida de la Albufera
417,plaza Ciudad de Viena
418,calle de Irún
419,"alonso cano, 53"
420,"calle de Hermosilla, 157"
421,calle de la Paz
422,calle de Emilio Ortuño
423,calle de Francisco Iglesias
424,calle de José Picón
425,calle Mendívil
426,calle del Marqués Viudo de Pontejos
427,calle de Enrique Larreta
428,calle de la Infanta Mercedes
429,paseo del Marqués de Zafra
430,calle de Julio Palacios
431,calle de la Constancia
432,calle de Matilde Díez
433,calle de San Dimas
434,CL ARROYO FONTARRON
435,"CL BARCO, 40"
436,calle de la Princesa
437,CL MARQUES DE LEGANES
438,calle Eros
439,"calle de Matilde Díez, 19"
440,calle de la Batalla del Salado
441,avenida de Alfonso XIII
442,"calle de Lombía, 7"
443,calle de Torrijos
444,calle de los Peñascales
445,calle de Sor Ángela de la Cruz
446,calle de la Isla de Oza
447,Barrio Cuzco-Castillejos
448,calle de San Ildefonso
449,"CL COCHABAMBA, 5"
450,"calle de la Madera, 35"
451,LEGANITOS
