,address,initial_price,final_price
194,"calle de la magdalena, 36, Madrid","201.800,00","130.400,00"
195,"calle de ascao, 55, Madrid","251.830,00","141.024,80"
196,"calle de san nicomedes, 14, Madrid","400.000,00","152.200,00"
197,"calle de galileo, 92, Madrid","254.369,08","254.369,00"
198,"plaza de santa bárbara, 5, Madrid","340.668,10","480.000,00"
199,"calle de granada, 35, Madrid","317.796,00","311.640,08"
200,"calle de granada, 35, Madrid","304.374,00","261.961,64"
201,"calle de granada, 35, Madrid","349.085,00","363.248,40"
202,"calle de bravo murillo, 109, Madrid","215.360,89","180.902,82"
203,"calle gandhi, 67, Madrid","167.959,51","155.000,00"
204,"calle burjasot, 30, Madrid","53.489,54","65.500,00"
205,"calle caracolí, 8, Madrid","185.143,00","249.600,10"
206,"calle de ladera de los almendros, 12, Madrid","118.210,61","121.821,06"
207,"calle de castillejos, 10, Madrid","330.639,00","171.932,28"
208,"calle de otero y delage, 30, Madrid","1.356.760,80","949.932,35"
209,"calle de las higueras, 30, Madrid","88.125,00","128.662,50"
210,"calle de sarriá, 29, Madrid","189.635,61","197.220,92"
211,"plaza de juan zorrilla, 4, Madrid","154.509,66","107.450,97"
212,"calle de la constelación, 7, Madrid","177.800,00","156.464,00"
213,"calle del puerto canfranc, 37, Madrid","157.800,00","75.744,00"
214,"calle de silvio abad, 82, Madrid","218.400,00","214.032,00"
215,"calle de silvio abad, 82, Madrid","207.500,00","203.350,00"
216,"calle de silvio abad, 82, Madrid","214.700,00","184.642,00"
217,"calle nicolás godoy, 10, Madrid","188.200,00","146.094,29"
218,"calle de beatriz galindo, 4, Madrid","220.467,60","207.239,45"
219,"calle martell, 40, Madrid","214.400,00","128.640,00"
220,"calle de escalona, 49, Madrid","255.073,11","155.000,00"
221,"avenida del cerro milano, 141, Madrid","245.094,61","156.860,48"
222,"calle perpetua díaz, 6, Madrid","204.600,00","124.000,69"
223,"calle francisco navacerrada, 52, Madrid","100.000,00","58.000,00"
224,"calle sierra de la loba, 3, Madrid","42.326,29","25.395,90"
225,"calle de zaida, 31, Madrid","276.044,88","204.473,30"
226,"calle del monte perdido, 42, Madrid","257.422,71","10.496,90"
227,"calle rosa menéndez, 26, Madrid","339.040,00","244.308,80"
228,"calle rosa menéndez, 26, Madrid","309.120,00","247.496,00"
229,"calle de santurce, 11, Madrid","74.879,43","61.487,94"
230,"calle del pico javalón, 14, Madrid","134.371,29","119.437,13"
231,"calle de la costa del sol, 14, Madrid","235.045,20","145.727,90"
232,"calle peña rivera, 22, Madrid","153.012,67","156.272,75"
233,"calle de santa tecla, 44, Madrid","276.828,00","160.760,24"
234,"calle de antonio lópez, 115, Madrid","289.219,92","260.000,00"
235,"calle de antonio ulloa, 23, Madrid","221.822,50","133.093,50"
236,"carrer de virgen de los reyes, 22, Madrid","182.390,00","288.176,20"
237,"avenida de peña prieta, 8, Madrid","234.000,00","99.400,00"
238,"avenida de la aurora boreal, 21, Madrid","136.988,69","293.155,39"
239,"calle antonio antoranz, 20, Madrid","120.895,70","134.089,57"
240,"calle de los algodonales, 3, Madrid","320.421,00","256.336,80"
241,"calle tordo, 20, Madrid","72.482,17","82.000,00"
242,"avenida de nuestra señora de valvanera, 1, Madrid","261.800,00","201.600,00"
243,"calle de los perales, 66, Madrid","152.890,36","110.280,80"
244,"calle de santo tomé, 6, Madrid","190.700,00","133.490,00"
245,"cl de la hacienda de pavones, 217, Madrid","168.633,32","212.678,21"
246,"calle de campezo, 14, Madrid","197.068,00","177.361,20"
247,"calle del talco, 37, Madrid","105.383,27","92.737,04"
248,"calle del párroco don emilio franco, 40, Madrid","173.248,30","149.193,28"
249,"avenida de la ciudad de barcelona, 71, Madrid","301.044,17","337.169,28"
250,"calle de mariano benlliure, 3, Madrid","134.200,00","75.152,00"
251,"calle de vicente aleixandre, 5, Madrid","4.561.750,00","3.193.225,00"
252,"calle del pico cebollera, 44, Madrid","33.765,75","53.349,49"
253,"calle de jorge juan, 141, Madrid","570.000,00","757.000,00"
254,"calle de argenta, 6, Madrid","301.501,20","223.110,74"
255,"calle sándalo, 5, Madrid","730.000,00","630.000,00"
256,"calle de servator, 22, Madrid","186.345,86","270.634,58"
257,"calle de ocaña, 145, Madrid","12.840,01","12.284,00"
258,"calle de ambroz, 11, Madrid","21.912,80","25.691,28"
259,"calle paulina odiaga, 30, Madrid","141.800,00","84.500,00"
260,"calle de la miosotis, 67, Madrid","189.926,00","163.000,00"
261,"avenida real de pinto, 76, Madrid","41.833,40","35.183,34"
262,"calle de la miosotis, 67, Madrid","215.910,36","164.291,60"
263,"calle de cleopatra, 6, Madrid","217.761,80","265.669,03"
264,"calle de mojácar, 6, Madrid","294.420,65","153.098,66"
265,"calle de sierra elvira, 33, Madrid","250.380,00","150.428,00"
266,"calle de antolina merino, 2, Madrid","110.683,24","128.392,28"
267,"calle de cartagena, 172, Madrid","244.347,60","380.000,00"
268,"calle de cartagena, 172, Madrid","266.871,36","482.000,00"
269,"calle de cartagena, 172, Madrid","409.960,23","725.000,00"
270,"calle de valenzuela, 12, Madrid","789.600,00","1.751.001,00"
271,"plaza de santa bárbara, 5, Madrid","340.686,10","433.000,00"
272,"plaza de santa bárbara, 5, Madrid","277.975,90","399.000,00"
273,"calle de alberdi, 40, Madrid","248.100,00","196.575,00"
274,"calle de alberdi, 40, Madrid","246.750,00","207.500,00"
275,"calle de alonso cano, 79, Madrid","630.000,00","806.400,00"
276,"calle de ramón azorín, 15, Madrid","255.906,00","158.661,72"
277,"calle de agustín durán, 5, Madrid","241.680,00","241.880,00"
278,"calle de la pilarica, 71, Madrid","230.000,80","173.000,00"
279,"calle de fuente de piedra, 18, Madrid","411.436,80","205.718,25"
280,"calle picos de europa, 21, Madrid","164.563,20","65.825,20"
281,"plaza isla de fuerteventura, 2, Madrid","75.815,70","101.792,77"
282,"calle avelino fernández de la poza, 27, Madrid","143.032,90","111.765,35"
283,"calle de las trece rosas, 6, Madrid","395.400,00","229.332,00"
284,"calle de los hermanos garcía noblejas, 91, Madrid","73.986,54","214.760,85"
285,"calle juan de arolas, 4, Madrid","268.100,00","155.698,00"
